#,Name,Type_1,Type_2,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary,Total
95,Dewgong,Water,Ice,90,70,80,70,95,70,1,False,475
96,Grimer,Poison,None,80,80,50,40,50,25,1,False,325
97,Muk,Poison,None,105,105,75,65,100,50,1,False,500
98,Shellder,Water,None,30,65,100,45,25,40,1,False,305
99,Cloyster,Water,Ice,50,95,180,85,45,70,1,False,525
100,Gastly,Ghost,Poison,30,35,30,100,35,80,1,False,310
101,Haunter,Ghost,Poison,45,50,45,115,55,95,1,False,405
102,Gengar,Ghost,Poison,60,65,60,130,75,110,1,False,500
103,Mega Gengar,Ghost,Poison,60,65,80,170,95,130,1,False,600
104,Onix,Rock,Ground,35,45,160,30,45,70,1,False,385
105,Drowzee,Psychic,None,60,48,45,43,90,42,1,False,328
106,Hypno,Psychic,None,85,73,70,73,115,67,1,False,483
107,Krabby,Water,None,30,105,90,25,25,50,1,False,325
108,Kingler,Water,None,55,130,115,50,50,75,1,False,475
109,Voltorb,Electric,None,40,30,50,55,55,100,1,False,330
110,Electrode,Electric,None,60,50,70,80,80,140,1,False,480
111,Exeggcute,Grass,Psychic,60,40,80,60,45,40,1,False,325
112,Exeggutor,Grass,Psychic,95,95,85,125,65,55,1,False,520
113,Cubone,Ground,None,50,50,95,40,50,35,1,False,320
114,Marowak,Ground,None,60,80,110,50,80,45,1,False,425
115,Hitmonlee,Fighting,None,50,120,53,35,110,87,1,False,455
116,Hitmonchan,Fighting,None,50,105,79,35,110,76,1,False,455
117,Lickitung,Normal,None,90,55,75,60,75,30,1,False,385
118,Koffing,Poison,None,40,65,95,60,45,35,1,False,340
119,Weezing,Poison,None,65,90,120,85,70,60,1,False,490
120,Rhyhorn,Ground,Rock,80,85,95,30,30,25,1,False,345
121,Rhydon,Ground,Rock,105,130,120,45,45,40,1,False,485
122,Chansey,Normal,None,250,5,5,35,105,50,1,False,450
123,Tangela,Grass,None,65,55,115,100,40,60,1,False,435
124,Kangaskhan,Normal,None,105,95,80,40,80,90,1,False,490
125,Mega Kangaskhan,Normal,None,105,125,100,60,100,100,1,False,590
126,Horsea,Water,None,30,40,70,70,25,60,1,False,295
127,Seadra,Water,None,55,65,95,95,45,85,1,False,440
128,Goldeen,Water,None,45,67,60,35,50,63,1,False,320
129,Seaking,Water,None,80,92,65,65,80,68,1,False,450
130,Staryu,Water,None,30,45,55,70,55,85,1,False,340
131,Starmie,Water,Psychic,60,75,85,100,85,115,1,False,520
132,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,1,False,460
133,Scyther,Bug,Flying,70,110,80,55,80,105,1,False,500
134,Jynx,Ice,Psychic,65,50,35,115,95,95,1,False,455
135,Electabuzz,Electric,None,65,83,57,95,85,105,1,False,490
136,Magmar,Fire,None,65,95,57,100,85,93,1,False,495
137,Pinsir,Bug,None,65,125,100,55,70,85,1,False,500
138,Mega Pinsir,Bug,Flying,65,155,120,65,90,105,1,False,600
139,Tauros,Normal,None,75,100,95,40,70,110,1,False,490
140,Magikarp,Water,None,20,10,55,15,20,80,1,False,200
141,Gyarados,Water,Flying,95,125,79,60,100,81,1,False,540
142,Mega Gyarados,Water,Dark,95,155,109,70,130,81,1,False,640
143,Lapras,Water,Ice,130,85,80,85,95,60,1,False,535
144,Ditto,Normal,None,48,48,48,48,48,48,1,False,288
145,Eevee,Normal,None,55,55,50,45,65,55,1,False,325
146,Vaporeon,Water,None,130,65,60,110,95,65,1,False,525
147,Jolteon,Electric,None,65,65,60,110,95,130,1,False,525
148,Flareon,Fire,None,65,130,60,95,110,65,1,False,525
149,Porygon,Normal,None,65,60,70,85,75,40,1,False,395
150,Omanyte,Rock,Water,35,40,100,90,55,35,1,False,355
151,Omastar,Rock,Water,70,60,125,115,70,55,1,False,495
152,Kabuto,Rock,Water,30,80,90,55,45,55,1,False,355
153,Kabutops,Rock,Water,60,115,105,65,70,80,1,False,495
154,Aerodactyl,Rock,Flying,80,105,65,60,75,130,1,False,515
155,Mega Aerodactyl,Rock,Flying,80,135,85,70,95,150,1,False,615
156,Snorlax,Normal,None,160,110,65,65,110,30,1,False,540
157,Articuno,Ice,Flying,90,85,100,95,125,85,1,True,580
158,Zapdos,Electric,Flying,90,90,85,125,90,100,1,True,580
159,Moltres,Fire,Flying,90,100,90,125,85,90,1,True,580
160,Dratini,Dragon,None,41,64,45,50,50,50,1,False,300
161,Dragonair,Dragon,None,61,84,65,70,70,70,1,False,420
162,Dragonite,Dragon,Flying,91,134,95,100,100,80,1,False,600
163,Mewtwo,Psychic,None,106,110,90,154,90,130,1,True,680
164,Mega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,1,True,780
165,Mega Mewtwo Y,Psychic,None,106,150,70,194,120,140,1,True,780
166,Mew,Psychic,None,100,100,100,100,100,100,1,False,600
167,Chikorita,Grass,None,45,49,65,49,65,45,2,False,318
168,Bayleef,Grass,None,60,62,80,63,80,60,2,False,405
169,Meganium,Grass,None,80,82,100,83,100,80,2,False,525
170,Cyndaquil,Fire,None,39,52,43,60,50,65,2,False,309
171,Quilava,Fire,None,58,64,58,80,65,80,2,False,405
172,Typhlosion,Fire,None,78,84,78,109,85,100,2,False,534
173,Totodile,Water,None,50,65,64,44,48,43,2,False,314
174,Croconaw,Water,None,65,80,80,59,63,58,2,False,405
175,Feraligatr,Water,None,85,105,100,79,83,78,2,False,530
176,Sentret,Normal,None,35,46,34,35,45,20,2,False,215
177,Furret,Normal,None,85,76,64,45,55,90,2,False,415
178,Hoothoot,Normal,Flying,60,30,30,36,56,50,2,False,262
179,Noctowl,Normal,Flying,100,50,50,76,96,70,2,False,442
180,Ledyba,Bug,Flying,40,20,30,40,80,55,2,False,265
181,Ledian,Bug,Flying,55,35,50,55,110,85,2,False,390
182,Spinarak,Bug,Poison,40,60,40,40,40,30,2,False,250
183,Ariados,Bug,Poison,70,90,70,60,60,40,2,False,390
184,Crobat,Poison,Flying,85,90,80,70,80,130,2,False,535
185,Chinchou,Water,Electric,75,38,38,56,56,67,2,False,330
186,Lanturn,Water,Electric,125,58,58,76,76,67,2,False,460
187,Pichu,Electric,None,20,40,15,35,35,60,2,False,205
188,Cleffa,Fairy,None,50,25,28,45,55,15,2,False,218
189,Igglybuff,Normal,Fairy,90,30,15,40,20,15,2,False,210
190,Togepi,Fairy,None,35,20,65,40,65,20,2,False,245
191,Togetic,Fairy,Flying,55,40,85,80,105,40,2,False,405
192,Natu,Psychic,Flying,40,50,45,70,45,70,2,False,320
193,Xatu,Psychic,Flying,65,75,70,95,70,95,2,False,470
194,Mareep,Electric,None,55,40,40,65,45,35,2,False,280
195,Flaaffy,Electric,None,70,55,55,80,60,45,2,False,365
196,Ampharos,Electric,None,90,75,85,115,90,55,2,False,510
197,Mega Ampharos,Electric,Dragon,90,95,105,165,110,45,2,False,610
198,Bellossom,Grass,None,75,80,95,90,100,50,2,False,490
199,Marill,Water,Fairy,70,20,50,20,50,40,2,False,250
200,Azumarill,Water,Fairy,100,50,80,60,80,50,2,False,420
201,Sudowoodo,Rock,None,70,100,115,30,65,30,2,False,410
202,Politoed,Water,None,90,75,75,90,100,70,2,False,500
203,Hoppip,Grass,Flying,35,35,40,35,55,50,2,False,250
204,Skiploom,Grass,Flying,55,45,50,45,65,80,2,False,340
205,Jumpluff,Grass,Flying,75,55,70,55,95,110,2,False,460
206,Aipom,Normal,None,55,70,55,40,55,85,2,False,360
207,Sunkern,Grass,None,30,30,30,30,30,30,2,False,180
208,Sunflora,Grass,None,75,75,55,105,85,30,2,False,425
209,Yanma,Bug,Flying,65,65,45,75,45,95,2,False,390
210,Wooper,Water,Ground,55,45,45,25,25,15,2,False,210
211,Quagsire,Water,Ground,95,85,85,65,65,35,2,False,430
212,Espeon,Psychic,None,65,65,60,130,95,110,2,False,525
213,Umbreon,Dark,None,95,65,110,60,130,65,2,False,525
214,Murkrow,Dark,Flying,60,85,42,85,42,91,2,False,405
215,Slowking,Water,Psychic,95,75,80,100,110,30,2,False,490
216,Misdreavus,Ghost,None,60,60,60,85,85,85,2,False,435
217,Unown,Psychic,None,48,72,48,72,48,48,2,False,336
218,Wobbuffet,Psychic,None,190,33,58,33,58,33,2,False,405
219,Girafarig,Normal,Psychic,70,80,65,90,65,85,2,False,455
220,Pineco,Bug,None,50,65,90,35,35,15,2,False,290
221,Forretress,Bug,Steel,75,90,140,60,60,40,2,False,465
222,Dunsparce,Normal,None,100,70,70,65,65,45,2,False,415
223,Gligar,Ground,Flying,65,75,105,35,65,85,2,False,430
224,Steelix,Steel,Ground,75,85,200,55,65,30,2,False,510
225,Mega Steelix,Steel,Ground,75,125,230,55,95,30,2,False,610
226,Snubbull,Fairy,None,60,80,50,40,40,30,2,False,300
227,Granbull,Fairy,None,90,120,75,60,60,45,2,False,450
228,Qwilfish,Water,Poison,65,95,75,55,55,85,2,False,430
229,Scizor,Bug,Steel,70,130,100,55,80,65,2,False,500
230,Mega Scizor,Bug,Steel,70,150,140,65,100,75,2,False,600
231,Shuckle,Bug,Rock,20,10,230,10,230,5,2,False,505
232,Heracross,Bug,Fighting,80,125,75,40,95,85,2,False,500
233,Mega Heracross,Bug,Fighting,80,185,115,40,105,75,2,False,600
234,Sneasel,Dark,Ice,55,95,55,35,75,115,2,False,430
235,Teddiursa,Normal,None,60,80,50,50,50,40,2,False,330
236,Ursaring,Normal,None,90,130,75,75,75,55,2,False,500
237,Slugma,Fire,None,40,40,40,70,40,20,2,False,250
238,Magcargo,Fire,Rock,50,50,120,80,80,30,2,False,410
239,Swinub,Ice,Ground,50,50,40,30,30,50,2,False,250
240,Piloswine,Ice,Ground,100,100,80,60,60,50,2,False,450
241,Corsola,Water,Rock,55,55,85,65,85,35,2,False,380
242,Remoraid,Water,None,35,65,35,65,35,65,2,False,300
243,Octillery,Water,None,75,105,75,105,75,45,2,False,480
244,Delibird,Ice,Flying,45,55,45,65,45,75,2,False,330
245,Mantine,Water,Flying,65,40,70,80,140,70,2,False,465
246,Skarmory,Steel,Flying,65,80,140,40,70,70,2,False,465
247,Houndour,Dark,Fire,45,60,30,80,50,65,2,False,330
248,Houndoom,Dark,Fire,75,90,50,110,80,95,2,False,500
249,Mega Houndoom,Dark,Fire,75,90,90,140,90,115,2,False,600
250,Kingdra,Water,Dragon,75,95,95,95,95,85,2,False,540
251,Phanpy,Ground,None,90,60,60,40,40,40,2,False,330
252,Donphan,Ground,None,90,120,120,60,60,50,2,False,500
253,Porygon2,Normal,None,85,80,90,105,95,60,2,False,515
254,Stantler,Normal,None,73,95,62,85,65,85,2,False,465
255,Smeargle,Normal,None,55,20,35,20,45,75,2,False,250
256,Tyrogue,Fighting,None,35,35,35,35,35,35,2,False,210
257,Hitmontop,Fighting,None,50,95,95,35,110,70,2,False,455
258,Smoochum,Ice,Psychic,45,30,15,85,65,65,2,False,305
259,Elekid,Electric,None,45,63,37,65,55,95,2,False,360
260,Magby,Fire,None,45,75,37,70,55,83,2,False,365
261,Miltank,Normal,None,95,80,105,40,70,100,2,False,490
262,Blissey,Normal,None,255,10,10,75,135,55,2,False,540
263,Raikou,Electric,None,90,85,75,115,100,115,2,True,580
264,Entei,Fire,None,115,115,85,90,75,100,2,True,580
265,Suicune,Water,None,100,75,115,90,115,85,2,True,580
266,Larvitar,Rock,Ground,50,64,50,45,50,41,2,False,300
267,Pupitar,Rock,Ground,70,84,70,65,70,51,2,False,410
268,Tyranitar,Rock,Dark,100,134,110,95,100,61,2,False,600
269,Mega Tyranitar,Rock,Dark,100,164,150,95,120,71,2,False,700
270,Lugia,Psychic,Flying,106,90,130,90,154,110,2,True,680
271,Ho-oh,Fire,Flying,106,130,90,110,154,90,2,True,680
272,Celebi,Psychic,Grass,100,100,100,100,100,100,2,False,600
273,Treecko,Grass,None,40,45,35,65,55,70,3,False,310
274,Grovyle,Grass,None,50,65,45,85,65,95,3,False,405
275,Sceptile,Grass,None,70,85,65,105,85,120,3,False,530
276,Mega Sceptile,Grass,Dragon,70,110,75,145,85,145,3,False,630
277,Torchic,Fire,None,45,60,40,70,50,45,3,False,310
278,Combusken,Fire,Fighting,60,85,60,85,60,55,3,False,405
279,Blaziken,Fire,Fighting,80,120,70,110,70,80,3,False,530
280,Mega Blaziken,Fire,Fighting,80,160,80,130,80,100,3,False,630
281,Mudkip,Water,None,50,70,50,50,50,40,3,False,310
282,Marshtomp,Water,Ground,70,85,70,60,70,50,3,False,405
283,Swampert,Water,Ground,100,110,90,85,90,60,3,False,535
284,Mega Swampert,Water,Ground,100,150,110,95,110,70,3,False,635
285,Poochyena,Dark,None,35,55,35,30,30,35,3,False,220
286,Mightyena,Dark,None,70,90,70,60,60,70,3,False,420
287,Zigzagoon,Normal,None,38,30,41,30,41,60,3,False,240
288,Linoone,Normal,None,78,70,61,50,61,100,3,False,420
289,Wurmple,Bug,None,45,45,35,20,30,20,3,False,195
290,Silcoon,Bug,None,50,35,55,25,25,15,3,False,205
291,Beautifly,Bug,Flying,60,70,50,100,50,65,3,False,395
292,Cascoon,Bug,None,50,35,55,25,25,15,3,False,205
293,Dustox,Bug,Poison,60,50,70,50,90,65,3,False,385
294,Lotad,Water,Grass,40,30,30,40,50,30,3,False,220
295,Lombre,Water,Grass,60,50,50,60,70,50,3,False,340
296,Ludicolo,Water,Grass,80,70,70,90,100,70,3,False,480
297,Seedot,Grass,None,40,40,50,30,30,30,3,False,220
298,Nuzleaf,Grass,Dark,70,70,40,60,40,60,3,False,340
299,Shiftry,Grass,Dark,90,100,60,90,60,80,3,False,480
300,Taillow,Normal,Flying,40,55,30,30,30,85,3,False,270
301,Swellow,Normal,Flying,60,85,60,50,50,125,3,False,430
302,Wingull,Water,Flying,40,30,30,55,30,85,3,False,270
303,Pelipper,Water,Flying,60,50,100,85,70,65,3,False,430
304,Ralts,Psychic,Fairy,28,25,25,45,35,40,3,False,198
305,Kirlia,Psychic,Fairy,38,35,35,65,55,50,3,False,278
306,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,3,False,518
307,Mega Gardevoir,Psychic,Fairy,68,85,65,165,135,100,3,False,618
308,Surskit,Bug,Water,40,30,32,50,52,65,3,False,269
309,Masquerain,Bug,Flying,70,60,62,80,82,60,3,False,414
310,Shroomish,Grass,None,60,40,60,40,60,35,3,False,295
311,Breloom,Grass,Fighting,60,130,80,60,60,70,3,False,460
312,Slakoth,Normal,None,60,60,60,35,35,30,3,False,280
313,Vigoroth,Normal,None,80,80,80,55,55,90,3,False,440
314,Slaking,Normal,None,150,160,100,95,65,100,3,False,670
315,Nincada,Bug,Ground,31,45,90,30,30,40,3,False,266
316,Ninjask,Bug,Flying,61,90,45,50,50,160,3,False,456
317,Shedinja,Bug,Ghost,1,90,45,30,30,40,3,False,236
318,Whismur,Normal,None,64,51,23,51,23,28,3,False,240
319,Loudred,Normal,None,84,71,43,71,43,48,3,False,360
320,Exploud,Normal,None,104,91,63,91,73,68,3,False,490
321,Makuhita,Fighting,None,72,60,30,20,30,25,3,False,237
322,Hariyama,Fighting,None,144,120,60,40,60,50,3,False,474
323,Azurill,Normal,Fairy,50,20,40,20,40,20,3,False,190
324,Nosepass,Rock,None,30,45,135,45,90,30,3,False,375
325,Skitty,Normal,None,50,45,45,35,35,50,3,False,260
326,Delcatty,Normal,None,70,65,65,55,55,70,3,False,380
327,Sableye,Dark,Ghost,50,75,75,65,65,50,3,False,380
328,Mega Sableye,Dark,Ghost,50,85,125,85,115,20,3,False,480
329,Mawile,Steel,Fairy,50,85,85,55,55,50,3,False,380
330,Mega Mawile,Steel,Fairy,50,105,125,55,95,50,3,False,480
331,Aron,Steel,Rock,50,70,100,40,40,30,3,False,330
332,Lairon,Steel,Rock,60,90,140,50,50,40,3,False,430
333,Aggron,Steel,Rock,70,110,180,60,60,50,3,False,530
334,Mega Aggron,Steel,None,70,140,230,60,80,50,3,False,630
335,Meditite,Fighting,Psychic,30,40,55,40,55,60,3,False,280
336,Medicham,Fighting,Psychic,60,60,75,60,75,80,3,False,410
337,Mega Medicham,Fighting,Psychic,60,100,85,80,85,100,3,False,510
338,Electrike,Electric,None,40,45,40,65,40,65,3,False,295
339,Manectric,Electric,None,70,75,60,105,60,105,3,False,475
340,Mega Manectric,Electric,None,70,75,80,135,80,135,3,False,575
341,Plusle,Electric,None,60,50,40,85,75,95,3,False,405
342,Minun,Electric,None,60,40,50,75,85,95,3,False,405
343,Volbeat,Bug,None,65,73,55,47,75,85,3,False,400
344,Illumise,Bug,None,65,47,55,73,75,85,3,False,400
345,Roselia,Grass,Poison,50,60,45,100,80,65,3,False,400
346,Gulpin,Poison,None,70,43,53,43,53,40,3,False,302
347,Swalot,Poison,None,100,73,83,73,83,55,3,False,467
348,Carvanha,Water,Dark,45,90,20,65,20,65,3,False,305
349,Sharpedo,Water,Dark,70,120,40,95,40,95,3,False,460
350,Mega Sharpedo,Water,Dark,70,140,70,110,65,105,3,False,560
351,Wailmer,Water,None,130,70,35,70,35,60,3,False,400
352,Wailord,Water,None,170,90,45,90,45,60,3,False,500
353,Numel,Fire,Ground,60,60,40,65,45,35,3,False,305
354,Camerupt,Fire,Ground,70,100,70,105,75,40,3,False,460
355,Mega Camerupt,Fire,Ground,70,120,100,145,105,20,3,False,560
356,Torkoal,Fire,None,70,85,140,85,70,20,3,False,470
357,Spoink,Psychic,None,60,25,35,70,80,60,3,False,330
358,Grumpig,Psychic,None,80,45,65,90,110,80,3,False,470
359,Spinda,Normal,None,60,60,60,60,60,60,3,False,360
360,Trapinch,Ground,None,45,100,45,45,45,10,3,False,290
361,Vibrava,Ground,Dragon,50,70,50,50,50,70,3,False,340
362,Flygon,Ground,Dragon,80,100,80,80,80,100,3,False,520
363,Cacnea,Grass,None,50,85,40,85,40,35,3,False,335
364,Cacturne,Grass,Dark,70,115,60,115,60,55,3,False,475
365,Swablu,Normal,Flying,45,40,60,40,75,50,3,False,310
366,Altaria,Dragon,Flying,75,70,90,70,105,80,3,False,490
367,Mega Altaria,Dragon,Fairy,75,110,110,110,105,80,3,False,590
368,Zangoose,Normal,None,73,115,60,60,60,90,3,False,458
369,Seviper,Poison,None,73,100,60,100,60,65,3,False,458
370,Lunatone,Rock,Psychic,70,55,65,95,85,70,3,False,440
371,Solrock,Rock,Psychic,70,95,85,55,65,70,3,False,440
372,Barboach,Water,Ground,50,48,43,46,41,60,3,False,288
373,Whiscash,Water,Ground,110,78,73,76,71,60,3,False,468
374,Corphish,Water,None,43,80,65,50,35,35,3,False,308
375,Crawdaunt,Water,Dark,63,120,85,90,55,55,3,False,468
376,Baltoy,Ground,Psychic,40,40,55,40,70,55,3,False,300
377,Claydol,Ground,Psychic,60,70,105,70,120,75,3,False,500
378,Lileep,Rock,Grass,66,41,77,61,87,23,3,False,355
379,Cradily,Rock,Grass,86,81,97,81,107,43,3,False,495
380,Anorith,Rock,Bug,45,95,50,40,50,75,3,False,355
381,Armaldo,Rock,Bug,75,125,100,70,80,45,3,False,495
382,Feebas,Water,None,20,15,20,10,55,80,3,False,200
383,Milotic,Water,None,95,60,79,100,125,81,3,False,540
384,Castform,Normal,None,70,70,70,70,70,70,3,False,420
385,Kecleon,Normal,None,60,90,70,60,120,40,3,False,440
386,Shuppet,Ghost,None,44,75,35,63,33,45,3,False,295
387,Banette,Ghost,None,64,115,65,83,63,65,3,False,455
388,Mega Banette,Ghost,None,64,165,75,93,83,75,3,False,555
389,Duskull,Ghost,None,20,40,90,30,90,25,3,False,295
390,Dusclops,Ghost,None,40,70,130,60,130,25,3,False,455
391,Tropius,Grass,Flying,99,68,83,72,87,51,3,False,460
392,Chimecho,Psychic,None,65,50,70,95,80,65,3,False,425
393,Absol,Dark,None,65,130,60,75,60,75,3,False,465
394,Mega Absol,Dark,None,65,150,60,115,60,115,3,False,565
395,Wynaut,Psychic,None,95,23,48,23,48,23,3,False,260
396,Snorunt,Ice,None,50,50,50,50,50,50,3,False,300
397,Glalie,Ice,None,80,80,80,80,80,80,3,False,480
398,Mega Glalie,Ice,None,80,120,80,120,80,100,3,False,580
399,Spheal,Ice,Water,70,40,50,55,50,25,3,False,290
400,Sealeo,Ice,Water,90,60,70,75,70,45,3,False,410
401,Walrein,Ice,Water,110,80,90,95,90,65,3,False,530
402,Clamperl,Water,None,35,64,85,74,55,32,3,False,345
403,Huntail,Water,None,55,104,105,94,75,52,3,False,485
404,Gorebyss,Water,None,55,84,105,114,75,52,3,False,485
405,Relicanth,Water,Rock,100,90,130,45,65,55,3,False,485
406,Luvdisc,Water,None,43,30,55,40,65,97,3,False,330
407,Bagon,Dragon,None,45,75,60,40,30,50,3,False,300
408,Shelgon,Dragon,None,65,95,100,60,50,50,3,False,420
409,Salamence,Dragon,Flying,95,135,80,110,80,100,3,False,600
410,Mega Salamence,Dragon,Flying,95,145,130,120,90,120,3,False,700
411,Beldum,Steel,Psychic,40,55,80,35,60,30,3,False,300
412,Metang,Steel,Psychic,60,75,100,55,80,50,3,False,420
413,Metagross,Steel,Psychic,80,135,130,95,90,70,3,False,600
414,Mega Metagross,Steel,Psychic,80,145,150,105,110,110,3,False,700
415,Regirock,Rock,None,80,100,200,50,100,50,3,True,580
416,Regice,Ice,None,80,50,100,100,200,50,3,True,580
417,Registeel,Steel,None,80,75,150,75,150,50,3,True,580
418,Latias,Dragon,Psychic,80,80,90,110,130,110,3,True,600
419,Mega Latias,Dragon,Psychic,80,100,120,140,150,110,3,True,700
420,Latios,Dragon,Psychic,80,90,80,130,110,110,3,True,600
